pair,alt,direction,n_pts,length_m,width_m,buffer_m,half_extent_m,min_clearance_m,corridor_area_m2,mean_risk,max_risk,mean_conflict,corridor_length_m
DK01_to_DB02#alt0,0,fwd,13,819.9,50.0,12.5,37.5,425.6,40995.0,0.1284,0.2151,0.0,
DB02_to_DK01#alt0,0,bwd,16,954.6,50.0,12.5,37.5,414.6,47730.0,0.1643,0.2231,0.0,
DK01_to_DB02#alt1,1,fwd,15,898.7,50.0,12.5,37.5,425.6,44933.0,0.1097,0.2151,0.0,
DB02_to_DK01#alt1,1,bwd,17,983.9,50.0,12.5,37.5,425.6,49195.0,0.1005,0.2151,0.0,
DK01_to_DB02#alt2,2,fwd,18,1028.0,50.0,12.5,37.5,314.6,51398.0,0.1874,0.3114,0.0,
DB02_to_DK01#alt2,2,bwd,20,1206.0,50.0,12.5,37.5,400.0,60298.0,0.0943,0.2151,0.0,
DK01_to_DB02#alt3,3,fwd,32,1924.6,50.0,12.5,37.5,150.0,96232.0,0.0876,0.2407,0.0,
DB02_to_DK01#alt3,3,bwd,24,1499.1,50.0,12.5,37.5,164.6,74953.0,0.282,0.5134,0.0,
DK01_to_DB02#alt4,4,fwd,32,1931.5,50.0,12.5,37.5,76.4,96575.0,0.3452,0.6889,0.0,
DB02_to_DK01#alt4,4,bwd,42,2408.8,50.0,12.5,37.5,50.0,120441.0,0.0877,0.2151,0.0,
DK01_to_DB02#alt5,5,fwd,22,1357.6,50.0,12.5,37.5,350.0,67882.0,0.0802,0.2151,0.0,
DB02_to_DK01#alt5,5,bwd,76,4265.2,50.0,12.5,37.5,64.6,213261.0,0.3694,0.7165,0.0,
DK01_to_DB02#alt7,7,fwd,116,6389.3,50.0,12.5,37.5,50.0,319467.0,0.3416,0.7165,0.0,
DB02_to_DK03#alt0,0,fwd,16,833.0,50.0,12.5,37.5,264.6,41652.0,0.2999,0.3679,0.0,
DK03_to_DB02#alt0,0,bwd,20,1136.1,50.0,12.5,37.5,64.6,56804.0,0.4365,0.7165,0.0,
DB02_to_DK03#alt1,1,fwd,16,807.1,50.0,12.5,37.5,264.6,40356.0,0.2334,0.3679,0.0,
DK03_to_DB02#alt1,1,bwd,16,833.0,50.0,12.5,37.5,264.6,41652.0,0.1882,0.3679,0.0,
DB02_to_DK03#alt2,2,fwd,43,2497.4,50.0,12.5,37.5,64.6,124871.0,0.5386,0.7165,0.0,
DK03_to_DB02#alt2,2,bwd,17,941.9,50.0,12.5,37.5,164.6,47097.0,0.3819,0.5134,0.0,
DB02_to_DK03#alt3,3,fwd,87,4957.9,50.0,12.5,37.5,64.6,247894.0,0.3521,0.7165,0.0,
DK03_to_DB02#alt3,3,bwd,158,8967.4,50.0,12.5,37.5,50.0,448368.0,0.3537,0.7165,0.0,
DB02_to_DK03#alt4,4,fwd,17,941.9,50.0,12.5,37.5,264.6,47097.0,0.1595,0.3679,0.0,
DK03_to_DB02#alt5,5,bwd,24,1457.1,50.0,12.5,37.5,264.6,72855.0,0.1588,0.3679,0.0,
DB02_to_DK03#alt6,6,fwd,55,3115.3,50.0,12.5,37.5,64.6,155763.0,0.407,0.7165,0.0,
DK03_to_DB02#alt6,6,bwd,69,3914.5,50.0,12.5,37.5,50.0,195724.0,0.191,0.7165,0.0,
DB02_to_DK03#alt7,7,fwd,192,10766.6,50.0,12.5,37.5,50.0,538329.0,0.3978,0.7165,0.0,
DK03_to_DB02#alt7,7,bwd,106,5928.3,50.0,12.5,37.5,64.6,296414.0,0.3574,0.7165,0.0,
DK01_to_DK03#alt0,0,fwd,15,773.0,50.0,12.5,37.5,233.9,38648.0,0.2966,0.4076,0.0,
DK03_to_DK01#alt0,0,bwd,18,909.1,50.0,12.5,37.5,164.6,45455.0,0.358,0.5134,0.0,
DK01_to_DK03#alt1,1,fwd,25,1413.8,50.0,12.5,37.5,64.6,70692.0,0.4259,0.7165,0.0,
DK03_to_DK01#alt1,1,bwd,15,741.6,50.0,12.5,37.5,264.6,37081.0,0.2265,0.3679,0.0,
DK01_to_DK03#alt2,2,fwd,57,3244.2,50.0,12.5,37.5,50.0,162211.0,0.4415,0.7165,0.0,
DK03_to_DK01#alt3,3,bwd,16,848.2,50.0,12.5,37.5,264.6,42409.0,0.1907,0.3679,0.0,
DK01_to_DK03#alt7,7,fwd,17,962.7,50.0,12.5,37.5,264.6,48133.0,0.1952,0.3679,0.0,
DK03_to_DK01#alt7,7,bwd,70,4027.9,50.0,12.5,37.5,64.6,201394.0,0.2487,0.7165,0.0,
DK01_to_DK02#alt0,0,fwd,71,4096.8,50.0,12.5,37.5,50.0,204840.0,0.1673,0.4931,0.0,
DK02_to_DK01#alt0,0,bwd,59,3498.6,50.0,12.5,37.5,144.9,174929.0,0.1956,0.5483,0.0,
DK01_to_DK02#alt1,1,fwd,57,3399.6,50.0,12.5,37.5,64.6,169982.0,0.2474,0.7165,0.0,
DK02_to_DK01#alt1,1,bwd,63,3845.2,50.0,12.5,37.5,50.0,192261.0,0.1629,0.4931,0.0,
DK02_to_DK01#alt2,2,bwd,54,3301.3,50.0,12.5,37.5,76.4,165067.0,0.246,0.6889,0.0,
DK01_to_DK02#alt3,3,fwd,121,6718.2,50.0,12.5,37.5,50.0,335908.0,0.3161,0.7165,0.0,
DK01_to_DK02#alt4,4,fwd,159,9077.9,50.0,12.5,37.5,50.0,453895.0,0.3869,0.7165,0.0,
DK02_to_DK01#alt4,4,bwd,223,12300.3,50.0,12.5,37.5,50.0,615017.0,0.3295,0.7165,0.0,
DB02_to_DK02#alt0,0,fwd,40,2339.6,50.0,12.5,37.5,64.6,116981.0,0.3912,0.7165,0.0,
DK02_to_DB02#alt0,0,bwd,40,2350.0,50.0,12.5,37.5,64.6,117502.0,0.3129,0.7165,0.0,
DK02_to_DB02#alt1,1,bwd,56,3247.7,50.0,12.5,37.5,264.6,162387.0,0.2254,0.3679,0.0,
DK02_to_DB02#alt2,2,bwd,216,12047.2,50.0,12.5,37.5,50.0,602362.0,0.3757,0.7165,0.0,
DK02_to_DB02#alt3,3,bwd,89,5159.1,50.0,12.5,37.5,64.6,257953.0,0.339,0.7165,0.0,
DB02_to_DK02#alt4,4,fwd,116,6577.0,50.0,12.5,37.5,50.0,328850.0,0.3075,0.7165,0.0,
DK02_to_DB02#alt4,4,bwd,207,11568.6,50.0,12.5,37.5,50.0,578431.0,0.4093,0.7165,0.0,
DB02_to_DK02#alt5,5,fwd,60,3498.5,50.0,12.5,37.5,164.6,174926.0,0.2469,0.5134,0.0,
DK02_to_DB02#alt5,5,bwd,128,7418.4,50.0,12.5,37.5,64.6,370921.0,0.4748,0.7165,0.0,
DK06_to_DK03#alt0,0,fwd,55,3024.1,50.0,12.5,37.5,64.6,151205.0,0.5346,0.7165,0.0,
DK03_to_DK06#alt0,0,bwd,208,12018.3,50.0,12.5,37.5,50.0,600913.0,0.3252,0.7165,0.0,
DK06_to_DK03#alt1,1,fwd,52,3002.3,50.0,12.5,37.5,264.6,150114.0,0.2014,0.3679,0.0,
DK03_to_DK06#alt1,1,bwd,189,10767.7,50.0,12.5,37.5,50.0,538384.0,0.4435,0.7165,0.0,
DK03_to_DK06#alt2,2,bwd,54,3340.0,50.0,12.5,37.5,214.6,166999.0,0.1905,0.4346,0.0,
DK06_to_DK03#alt3,3,fwd,85,4716.3,50.0,12.5,37.5,50.0,235813.0,0.2911,0.7165,0.0,
DK06_to_DK03#alt4,4,fwd,223,12368.9,50.0,12.5,37.5,50.0,618447.0,0.3133,0.7165,0.0,
DK03_to_DK06#alt5,5,bwd,133,7681.9,50.0,12.5,37.5,64.6,384097.0,0.3623,0.7165,0.0,
DK06_to_DK03#alt6,6,fwd,164,9295.4,50.0,12.5,37.5,64.6,464769.0,0.3851,0.7165,0.0,
DK03_to_DK05#alt0,0,fwd,157,8883.8,50.0,12.5,37.5,50.0,444190.0,0.3944,0.7165,0.0,
DK05_to_DK03#alt0,0,bwd,113,6281.3,50.0,12.5,37.5,50.0,314065.0,0.2492,0.6241,0.0,
DK03_to_DK05#alt1,1,fwd,83,4702.4,50.0,12.5,37.5,50.0,235121.0,0.4552,0.7165,0.0,
DK05_to_DK03#alt1,1,bwd,156,9006.1,50.0,12.5,37.5,50.0,450307.0,0.5363,0.7165,0.0,
DK03_to_DK05#alt2,2,fwd,169,9527.7,50.0,12.5,37.5,50.0,476386.0,0.3306,0.7165,0.0,
DK05_to_DK03#alt2,2,bwd,214,11427.0,50.0,12.5,37.5,50.0,571351.0,0.2666,0.7165,0.0,
DK05_to_DK03#alt3,3,bwd,84,4962.9,50.0,12.5,37.5,50.0,248144.0,0.3236,0.7165,0.0,
DK05_to_DK03#alt4,4,bwd,82,4392.0,50.0,12.5,37.5,50.0,219599.0,0.457,0.7165,0.0,
DK03_to_DK05#alt7,7,fwd,97,5575.4,50.0,12.5,37.5,50.0,278768.0,0.3126,0.7165,0.0,
DB02_to_DK06#alt0,0,fwd,37,1961.1,50.0,12.5,37.5,264.6,98054.0,0.2221,0.3679,0.0,
DB02_to_DK06#alt1,1,fwd,38,1940.5,50.0,12.5,37.5,64.6,97024.0,0.3425,0.7165,0.0,
DB02_to_DK06#alt2,2,fwd,40,2256.1,50.0,12.5,37.5,214.6,112803.0,0.2129,0.4346,0.0,
DB02_to_DK06#alt3,3,fwd,38,2079.2,50.0,12.5,37.5,64.6,103960.0,0.3958,0.7165,0.0,
DK06_to_DB02#alt4,4,bwd,45,2569.2,50.0,12.5,37.5,106.1,128462.0,0.2591,0.6241,0.0,
DK06_to_DB02#alt6,6,bwd,47,2555.8,50.0,12.5,37.5,64.6,127790.0,0.4053,0.7165,0.0,
DK06_to_DB02#alt7,7,bwd,68,3806.3,50.0,12.5,37.5,50.0,190316.0,0.3111,0.7165,0.0,
DB02_to_DK05#alt0,0,fwd,68,3841.6,50.0,12.5,37.5,50.0,192080.0,0.394,0.7165,0.0,
DK05_to_DB02#alt0,0,bwd,64,3567.1,50.0,12.5,37.5,50.0,178354.0,0.3277,0.7165,0.0,
DB02_to_DK05#alt1,1,fwd,100,5524.1,50.0,12.5,37.5,50.0,276206.0,0.2919,0.7165,0.0,
DB02_to_DK05#alt2,2,fwd,73,4235.1,50.0,12.5,37.5,50.0,211756.0,0.2794,0.7165,0.0,
DB02_to_DK05#alt3,3,fwd,173,9757.2,50.0,12.5,37.5,50.0,487860.0,0.4617,0.7165,0.0,
DB02_to_DK05#alt4,4,fwd,107,5713.7,50.0,12.5,37.5,50.0,285687.0,0.231,0.5134,0.0,
DB02_to_DK05#alt5,5,fwd,180,10438.4,50.0,12.5,37.5,50.0,521918.0,0.3484,0.7165,0.0,
DB02_to_DK05#alt6,6,fwd,67,3863.1,50.0,12.5,37.5,50.0,193155.0,0.2994,0.7165,0.0,
DK05_to_DB02#alt6,6,bwd,83,4899.4,50.0,12.5,37.5,50.0,244968.0,0.3724,0.7165,0.0,
DK02_to_DK05#alt0,0,fwd,25,1231.0,50.0,12.5,37.5,50.0,61550.0,0.2118,0.2636,0.0,
DK05_to_DK02#alt0,0,bwd,25,1238.9,50.0,12.5,37.5,50.0,61946.0,0.2602,0.3679,0.0,
DK02_to_DK05#alt1,1,fwd,25,1293.3,50.0,12.5,37.5,50.0,64667.0,0.2474,0.3679,0.0,
DK02_to_DK05#alt2,2,fwd,28,1621.1,50.0,12.5,37.5,50.0,81055.0,0.3541,0.7165,0.0,
DK05_to_DK02#alt2,2,bwd,25,1329.3,50.0,12.5,37.5,50.0,66467.0,0.3487,0.6065,0.0,
DK02_to_DK05#alt7,7,fwd,29,1782.6,50.0,12.5,37.5,50.0,89128.0,0.4379,0.7165,0.0,
DK06_to_DK02#alt0,0,fwd,20,1004.2,50.0,12.5,37.5,417.4,50211.0,0.1688,0.2211,0.0,
DK02_to_DK06#alt0,0,bwd,21,1100.5,50.0,12.5,37.5,364.6,55026.0,0.2141,0.2636,0.0,
DK02_to_DK06#alt1,1,bwd,20,991.6,50.0,12.5,37.5,417.4,49581.0,0.1363,0.2211,0.0,
DK02_to_DK06#alt3,3,bwd,23,1309.0,50.0,12.5,37.5,170.8,65448.0,0.2887,0.503,0.0,
DK06_to_DK02#alt4,4,fwd,21,1118.2,50.0,12.5,37.5,417.4,55910.0,0.1456,0.2211,0.0,
DB02_to_DK04#alt0,0,fwd,35,1958.3,50.0,12.5,37.5,64.6,97915.0,0.53,0.7165,0.0,
DK04_to_DB02#alt0,0,bwd,36,1878.8,50.0,12.5,37.5,64.6,93941.0,0.468,0.7165,0.0,
DK04_to_DB02#alt4,4,bwd,50,2863.8,50.0,12.5,37.5,64.6,143188.0,0.3944,0.7165,0.0,
DK04_to_DB02#alt5,5,bwd,72,4284.3,50.0,12.5,37.5,50.0,214216.0,0.229,0.5134,0.0,
DB02_to_DK04#alt7,7,fwd,67,3958.2,50.0,12.5,37.5,64.6,197911.0,0.2658,0.7165,0.0,
DK04_to_DB01#alt0,0,fwd,29,1701.6,50.0,12.5,37.5,64.6,85079.0,0.6171,0.7165,0.0,
DB01_to_DK04#alt0,0,bwd,32,1925.2,50.0,12.5,37.5,64.6,96259.0,0.4791,0.7165,0.0,
DB01_to_DK04#alt1,1,bwd,52,3058.5,50.0,12.5,37.5,64.6,152924.0,0.3227,0.7165,0.0,
DK04_to_DB01#alt5,5,fwd,62,3643.2,50.0,12.5,37.5,50.0,182159.0,0.3122,0.7165,0.0,
DK03_to_DK02#alt0,0,fwd,55,3186.0,50.0,12.5,37.5,64.6,159299.0,0.4969,0.7165,0.0,
DK02_to_DK03#alt0,0,bwd,55,3132.3,50.0,12.5,37.5,64.6,156615.0,0.3723,0.7165,0.0,
DK03_to_DK02#alt1,1,fwd,170,9612.3,50.0,12.5,37.5,50.0,480616.0,0.4148,0.7165,0.0,
DK02_to_DK03#alt1,1,bwd,131,7581.9,50.0,12.5,37.5,64.6,379093.0,0.3314,0.7165,0.0,
DK02_to_DK03#alt3,3,bwd,62,4076.8,50.0,12.5,37.5,64.6,203838.0,0.2272,0.7165,0.0,
DK03_to_DK02#alt4,4,fwd,118,6469.5,50.0,12.5,37.5,50.0,323475.0,0.3634,0.7165,0.0,
DK03_to_DK02#alt6,6,fwd,62,3818.1,50.0,12.5,37.5,176.8,190907.0,0.1704,0.4931,0.0,
DK03_to_DK02#alt7,7,fwd,125,7079.4,50.0,12.5,37.5,64.6,353968.0,0.4042,0.7165,0.0,
DK01_to_DB01#alt0,0,fwd,75,4282.4,50.0,12.5,37.5,64.6,214118.0,0.2401,0.7165,0.0,
DB01_to_DK01#alt0,0,bwd,82,4631.4,50.0,12.5,37.5,50.0,231571.0,0.2284,0.7165,0.0,
DB01_to_DK01#alt3,3,bwd,72,3906.3,50.0,12.5,37.5,64.6,195316.0,0.2754,0.7165,0.0,
DK01_to_DB01#alt4,4,fwd,69,3848.7,50.0,12.5,37.5,64.6,192436.0,0.3677,0.7165,0.0,
DK01_to_DK05#alt0,0,fwd,95,5269.8,50.0,12.5,37.5,50.0,263492.0,0.2814,0.7165,0.0,
DK05_to_DK01#alt0,0,bwd,80,4744.3,50.0,12.5,37.5,50.0,237217.0,0.2965,0.7165,0.0,
DK05_to_DK01#alt1,1,bwd,110,5821.8,50.0,12.5,37.5,50.0,291091.0,0.2712,0.7165,0.0,
DK01_to_DK05#alt4,4,fwd,82,4590.3,50.0,12.5,37.5,50.0,229517.0,0.2222,0.5134,0.0,
DK01_to_DK05#alt5,5,fwd,76,4508.7,50.0,12.5,37.5,50.0,225433.0,0.1894,0.4346,0.0,
DK01_to_DK05#alt6,6,fwd,91,5248.4,50.0,12.5,37.5,50.0,262422.0,0.356,0.7165,0.0,
DK05_to_DK01#alt6,6,bwd,79,4480.2,50.0,12.5,37.5,50.0,224009.0,0.2921,0.7165,0.0,
DK03_to_DK04#alt0,0,fwd,33,1923.0,50.0,12.5,37.5,64.6,96149.0,0.6138,0.7165,0.0,
DK04_to_DK03#alt2,2,bwd,35,2173.3,50.0,12.5,37.5,76.4,108666.0,0.3913,0.6889,0.0,
DK03_to_DK04#alt3,3,fwd,36,2030.9,50.0,12.5,37.5,64.6,101543.0,0.5949,0.7165,0.0,
DK04_to_DK03#alt3,3,bwd,43,2557.5,50.0,12.5,37.5,164.6,127874.0,0.2811,0.5134,0.0,
DK03_to_DK04#alt7,7,fwd,51,3052.6,50.0,12.5,37.5,64.6,152630.0,0.2759,0.7165,0.0,
DB02_to_DB01#alt0,0,fwd,61,3483.1,50.0,12.5,37.5,64.6,174154.0,0.4088,0.7165,0.0,
DB01_to_DB02#alt0,0,bwd,58,3367.5,50.0,12.5,37.5,64.6,168376.0,0.496,0.7165,0.0,
DB02_to_DB01#alt1,1,fwd,89,5054.1,50.0,12.5,37.5,64.6,252705.0,0.572,0.7165,0.0,
DB01_to_DB02#alt1,1,bwd,96,5211.7,50.0,12.5,37.5,64.6,260586.0,0.1931,0.7165,0.0,
DB02_to_DB01#alt3,3,fwd,83,4551.4,50.0,12.5,37.5,64.6,227571.0,0.1949,0.7165,0.0,
DB02_to_DB01#alt5,5,fwd,113,6077.7,50.0,12.5,37.5,50.0,303887.0,0.253,0.7165,0.0,
DK01_to_DK04#alt0,0,fwd,47,2612.5,50.0,12.5,37.5,64.6,130626.0,0.3983,0.7165,0.0,
DK04_to_DK01#alt0,0,bwd,65,3756.0,50.0,12.5,37.5,64.6,187802.0,0.2876,0.7165,0.0,
DK01_to_DK04#alt1,1,fwd,79,4604.8,50.0,12.5,37.5,50.0,230242.0,0.386,0.7165,0.0,
DK04_to_DK01#alt2,2,bwd,46,2809.5,50.0,12.5,37.5,76.4,140473.0,0.3542,0.6889,0.0,
DK03_to_DB01#alt0,0,fwd,56,3158.4,50.0,12.5,37.5,64.6,157918.0,0.2945,0.7165,0.0,
DB01_to_DK03#alt0,0,bwd,69,3929.2,50.0,12.5,37.5,64.6,196459.0,0.2194,0.7165,0.0,
DK03_to_DB01#alt1,1,fwd,82,4530.1,50.0,12.5,37.5,50.0,226503.0,0.2285,0.7165,0.0,
DK03_to_DB01#alt3,3,fwd,55,3103.1,50.0,12.5,37.5,64.6,155157.0,0.4471,0.7165,0.0,
DK06_to_DB01#alt0,0,fwd,79,4543.4,50.0,12.5,37.5,64.6,227172.0,0.5288,0.7165,0.0,
DB01_to_DK06#alt0,0,bwd,87,4964.7,50.0,12.5,37.5,64.6,248237.0,0.4494,0.7165,0.0,
DK06_to_DB01#alt1,1,fwd,110,6160.7,50.0,12.5,37.5,50.0,308036.0,0.496,0.7165,0.0,
DB01_to_DK06#alt5,5,bwd,126,6961.1,50.0,12.5,37.5,64.6,348053.0,0.5446,0.7165,0.0,
DK06_to_DK04#alt0,0,fwd,56,3204.1,50.0,12.5,37.5,64.6,160207.0,0.556,0.7165,0.0,
DK06_to_DK04#alt2,2,fwd,58,3330.1,50.0,12.5,37.5,64.6,166503.0,0.431,0.7165,0.0,
DK06_to_DK04#alt5,5,fwd,62,3802.3,50.0,12.5,37.5,76.4,190116.0,0.3877,0.6889,0.0,
DK02_to_DK04#alt0,0,fwd,59,3300.6,50.0,12.5,37.5,64.6,165032.0,0.5369,0.7165,0.0,
DK04_to_DK02#alt0,0,bwd,144,8291.3,50.0,12.5,37.5,50.0,414563.0,0.4797,0.7165,0.0,
DK04_to_DK02#alt4,4,bwd,62,3773.0,50.0,12.5,37.5,64.6,188651.0,0.4765,0.7165,0.0,
DK02_to_DK04#alt7,7,fwd,67,4037.4,50.0,12.5,37.5,64.6,201871.0,0.4359,0.7165,0.0,
DK06_to_DK05#alt0,0,fwd,34,1992.8,50.0,12.5,37.5,50.0,99640.0,0.2752,0.4931,0.0,
DK05_to_DK06#alt0,0,bwd,31,1841.1,50.0,12.5,37.5,50.0,92057.0,0.3998,0.7165,0.0,
DK06_to_DK05#alt1,1,fwd,37,2245.2,50.0,12.5,37.5,50.0,112261.0,0.2553,0.4346,0.0,
DK06_to_DK05#alt2,2,fwd,30,1808.6,50.0,12.5,37.5,50.0,90431.0,0.3459,0.7165,0.0,
DK05_to_DK06#alt5,5,bwd,32,1961.2,50.0,12.5,37.5,50.0,98059.0,0.2602,0.5483,0.0,
DK01_to_DK06#alt0,0,fwd,50,2808.3,50.0,12.5,37.5,284.8,140417.0,0.1464,0.344,0.0,
DK01_to_DK06#alt2,2,fwd,49,2640.2,50.0,12.5,37.5,264.6,132008.0,0.1669,0.3679,0.0,
DK01_to_DK06#alt3,3,fwd,52,3041.0,50.0,12.5,37.5,150.0,152050.0,0.1965,0.4931,0.0,
DK06_to_DK01#alt6,6,bwd,77,4149.3,50.0,12.5,37.5,50.0,207463.0,0.2721,0.7165,0.0,
DK05_to_DK04#alt0,0,fwd,173,9432.6,50.0,12.5,37.5,50.0,471631.0,0.3815,0.7165,0.0,
DK04_to_DK05#alt0,0,bwd,167,9363.1,50.0,12.5,37.5,50.0,468157.0,0.3179,0.7165,0.0,
DK04_to_DK05#alt3,3,bwd,88,5282.5,50.0,12.5,37.5,50.0,264123.0,0.3948,0.7165,0.0,
DK04_to_DK05#alt4,4,bwd,90,5106.1,50.0,12.5,37.5,50.0,255304.0,0.5188,0.7165,0.0,
DK05_to_DK04#alt6,6,fwd,189,10093.5,50.0,12.5,37.5,50.0,504675.0,0.282,0.7165,0.0,
DK02_to_DB01#alt0,0,fwd,57,3547.1,50.0,12.5,37.5,64.6,177356.0,0.4708,0.7165,0.0,
DB01_to_DK02#alt1,1,bwd,62,3638.5,50.0,12.5,37.5,64.6,181925.0,0.5104,0.7165,0.0,
DK02_to_DB01#alt4,4,fwd,102,5723.4,50.0,12.5,37.5,50.0,286168.0,0.6088,0.7165,0.0,
DK05_to_DB01#alt0,0,fwd,109,6208.8,50.0,12.5,37.5,50.0,310440.0,0.4591,0.7165,0.0,
