pair,direction,route_type,edge_seq,from_node_id,to_node_id,x1,y1,x2,y2,edge_distance_m,route_rank,route_key
DB01_to_DB02,forward,main,0,7798,7797,1050.0,3850.0,1000.0,3850.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,1,7797,7796,1000.0,3850.0,950.0,3850.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,2,7796,7694,950.0,3850.0,900.0,3800.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,3,7694,7592,900.0,3800.0,850.0,3750.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,4,7592,7490,850.0,3750.0,800.0,3700.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,5,7490,7388,800.0,3700.0,750.0,3650.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,6,7388,7286,750.0,3650.0,700.0,3600.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,7,7286,7184,700.0,3600.0,650.0,3550.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,8,7184,7083,650.0,3550.0,650.0,3500.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,9,7083,6981,650.0,3500.0,600.0,3450.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,10,6981,6880,600.0,3450.0,600.0,3400.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,11,6880,6779,600.0,3400.0,600.0,3350.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,12,6779,6678,600.0,3350.0,600.0,3300.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,13,6678,6576,600.0,3300.0,550.0,3250.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,14,6576,6475,550.0,3250.0,550.0,3200.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,15,6475,6374,550.0,3200.0,550.0,3150.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,16,6374,6273,550.0,3150.0,550.0,3100.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,17,6273,6171,550.0,3100.0,500.0,3050.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,18,6171,6070,500.0,3050.0,500.0,3000.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,19,6070,5969,500.0,3000.0,500.0,2950.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,20,5969,5868,500.0,2950.0,500.0,2900.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,21,5868,5766,500.0,2900.0,450.0,2850.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,22,5766,5665,450.0,2850.0,450.0,2800.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,23,5665,5564,450.0,2800.0,450.0,2750.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,24,5564,5464,450.0,2750.0,500.0,2700.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,25,5464,5363,500.0,2700.0,500.0,2650.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,26,5363,5263,500.0,2650.0,550.0,2600.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,27,5263,5162,550.0,2600.0,550.0,2550.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,28,5162,5062,550.0,2550.0,600.0,2500.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,29,5062,4961,600.0,2500.0,600.0,2450.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,30,4961,4861,600.0,2450.0,650.0,2400.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,31,4861,4761,650.0,2400.0,700.0,2350.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,32,4761,4661,700.0,2350.0,750.0,2300.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,33,4661,4662,750.0,2300.0,800.0,2300.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,34,4662,4562,800.0,2300.0,850.0,2250.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,35,4562,4563,850.0,2250.0,900.0,2250.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,36,4563,4463,900.0,2250.0,950.0,2200.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,37,4463,4464,950.0,2200.0,1000.0,2200.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,38,4464,4364,1000.0,2200.0,1050.0,2150.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,39,4364,4365,1050.0,2150.0,1100.0,2150.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,40,4365,4366,1100.0,2150.0,1150.0,2150.0,50.0,1,forward_main_01
DB01_to_DB02,forward,main,41,4366,4266,1150.0,2150.0,1200.0,2100.0,70.71067811865476,1,forward_main_01
DB01_to_DB02,forward,main,42,4266,4267,1200.0,2100.0,1250.0,2100.0,50.0,1,forward_main_01
