seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DB01_to_DB02,backward,backup,2258,1800.0,1100.0,0.0,0.6414706865041525,0.085,0.6018106006716945,0.39818939932830555,0.0,0.0,0.0,0,0,1,DB02,DB
1,DB01_to_DB02,backward,backup,2360,1850.0,1150.0,0.0,0.6372590402601404,0.085,0.6136802511983586,0.38631974880164144,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DB01_to_DB02,backward,backup,2461,1850.0,1200.0,0.0,0.6430615237750144,0.085,0.5913243331788259,0.40867566682117407,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DB01_to_DB02,backward,backup,2562,1850.0,1250.0,0.0,0.6485398066755199,0.085,0.5675614520150244,0.4324385479849756,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DB01_to_DB02,backward,backup,2663,1850.0,1300.0,0.0,0.65324886805348,0.085,0.5426297102020793,0.4573702897979207,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DB01_to_DB02,backward,backup,2764,1850.0,1350.0,0.0,0.6564948807610249,0.085,0.5167705827795767,0.48322941722042334,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DB01_to_DB02,backward,backup,2865,1850.0,1400.0,0.0,0.6558070749662986,0.085,0.4902250904938553,0.5097749095061447,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DB01_to_DB02,backward,backup,2966,1850.0,1450.0,0.0,0.6499718140427969,0.085,0.463230156563083,0.536769843436917,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DB01_to_DB02,backward,backup,3067,1850.0,1500.0,0.0,0.6360270819691205,0.085,0.4360152213017239,0.5639847786982761,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DB01_to_DB02,backward,backup,3168,1850.0,1550.0,0.0,0.6094547225560685,0.085,0.4087991783506979,0.5912008216493021,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DB01_to_DB02,backward,backup,3269,1850.0,1600.0,0.0,0.5633492726475021,0.085,0.3817876843578648,0.6182123156421352,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DB01_to_DB02,backward,backup,3370,1850.0,1650.0,0.0,0.48716944031659615,0.085,0.35517088113896567,0.6448291188610343,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DB01_to_DB02,backward,backup,3471,1850.0,1700.0,0.0,0.3650182793151414,0.085,0.3291215561085422,0.6708784438914578,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DB01_to_DB02,backward,backup,3572,1850.0,1750.0,0.0,0.17713698083326382,0.085,0.30379375357787425,0.6962062464221257,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DB01_to_DB02,backward,backup,3672,1800.0,1800.0,0.0,0.07599089687386551,0.085,0.26497362135689667,0.7350263786431033,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DB01_to_DB02,backward,backup,3772,1750.0,1850.0,0.0,0.14288141711524235,0.085,0.2558199889513621,0.7441800110486378,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DB01_to_DB02,backward,backup,3872,1700.0,1900.0,0.0,0.19742997913056984,0.085,0.29329906232102687,0.7067009376789731,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DB01_to_DB02,backward,backup,3871,1650.0,1900.0,0.0,0.17066915925940346,0.085,0.31899555036296995,0.68100444963703,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DB01_to_DB02,backward,backup,3971,1600.0,1950.0,0.0,0.1349835224137834,0.085,0.36146931442900027,0.6385306855709998,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DB01_to_DB02,backward,backup,4071,1550.0,2000.0,0.0,0.14818777342536107,0.085,0.40641087448202784,0.5935891255179722,0.0,0.0,0.0,0,0,0,NONE,NONE
20,DB01_to_DB02,backward,backup,4171,1500.0,2050.0,0.0,0.12918188455203447,0.085,0.4533840931520487,0.5466159068479512,0.0,0.0,0.0,0,0,0,NONE,NONE
21,DB01_to_DB02,backward,backup,4271,1450.0,2100.0,0.0,0.15636029763249668,0.085,0.5018504434962461,0.4981495565037539,0.0,0.0,0.0,0,0,0,NONE,NONE
22,DB01_to_DB02,backward,backup,4270,1400.0,2100.0,0.0,0.17578199589316168,0.085,0.5352614285189903,0.4647385714810097,0.0,0.0,0.0,0,0,0,NONE,NONE
23,DB01_to_DB02,backward,backup,4370,1350.0,2150.0,0.0,0.12188654986667588,0.085,0.5855777864671197,0.41442221353288033,0.0,0.0,0.0,0,0,0,NONE,NONE
24,DB01_to_DB02,backward,backup,4470,1300.0,2200.0,0.0,0.06338828508991423,0.085,0.635638673826052,0.364361326173948,0.0,0.0,0.0,0,0,0,NONE,NONE
25,DB01_to_DB02,backward,backup,4469,1250.0,2200.0,0.0,0.10699012282861484,0.085,0.6700582534023591,0.32994174659764086,0.0,0.0,0.0,0,0,0,NONE,NONE
26,DB01_to_DB02,backward,backup,4468,1200.0,2200.0,0.0,0.1454673320925598,0.085,0.7035878743456275,0.29641212565437247,0.0,0.0,0.0,0,0,0,NONE,NONE
27,DB01_to_DB02,backward,backup,4467,1150.0,2200.0,0.0,0.17938443917842328,0.085,0.7359150228524268,0.2640849771475732,0.0,0.0,0.0,0,0,0,NONE,NONE
28,DB01_to_DB02,backward,backup,4567,1100.0,2250.0,0.0,0.13900624302570413,0.085,0.7833774640608182,0.2166225359391818,0.0,0.0,0.0,0,0,0,NONE,NONE
29,DB01_to_DB02,backward,backup,4566,1050.0,2250.0,0.0,0.09863316875190636,0.085,0.812994243520487,0.187005756479513,0.0,0.0,0.0,0,0,0,NONE,NONE
30,DB01_to_DB02,backward,backup,4565,1000.0,2250.0,0.0,0.05642499457259866,0.085,0.8404413361000395,0.15955866389996054,0.0,0.0,0.0,0,0,0,NONE,NONE
31,DB01_to_DB02,backward,backup,4564,950.0,2250.0,0.0,0.09556756304870265,0.085,0.8654278673596753,0.13457213264032475,0.0,0.0,0.0,0,0,0,NONE,NONE
32,DB01_to_DB02,backward,backup,4563,900.0,2250.0,0.0,0.13158696229814154,0.085,0.8876829615679295,0.11231703843207053,0.0,0.0,0.0,0,0,0,NONE,NONE
33,DB01_to_DB02,backward,backup,4562,850.0,2250.0,0.0,0.16524131061774394,0.085,0.9069606178873836,0.09303938211261642,0.0,0.0,0.0,0,0,0,NONE,NONE
34,DB01_to_DB02,backward,backup,4662,800.0,2300.0,0.0,0.13158696229814154,0.085,0.9394130628134758,0.06058693718652419,0.0,0.0,0.0,0,0,0,NONE,NONE
35,DB01_to_DB02,backward,backup,4661,750.0,2300.0,0.0,0.09500791482556972,0.085,0.9523447998951764,0.0476552001048236,0.0,0.0,0.0,0,0,0,NONE,NONE
36,DB01_to_DB02,backward,backup,4761,700.0,2350.0,0.0,0.13969137413676777,0.085,0.9749290059944998,0.02507099400550017,0.0,0.0,0.0,0,0,0,NONE,NONE
37,DB01_to_DB02,backward,backup,4861,650.0,2400.0,0.0,0.1033066295379715,0.085,0.9902819038736084,0.009718096126391629,0.0,0.0,0.0,0,0,0,NONE,NONE
38,DB01_to_DB02,backward,backup,4961,600.0,2450.0,0.0,0.1549760275125175,0.085,0.9980487811074755,0.0019512188925244756,0.0,0.0,0.0,0,0,0,NONE,NONE
39,DB01_to_DB02,backward,backup,5062,600.0,2500.0,0.0,0.07988873959432191,0.085,1.0,0.0,0.0,0.0,0.0,0,0,1,FLZ01,FLZ
40,DB01_to_DB02,backward,backup,5162,550.0,2550.0,0.0,0.16524131061774394,0.085,0.9961013694701175,0.0038986305298824853,0.0,0.0,0.0,0,0,0,NONE,NONE
41,DB01_to_DB02,backward,backup,5161,500.0,2550.0,0.0,0.29950682296349973,0.085,0.9902819038736084,0.009718096126391629,0.0,0.0,0.0,0,0,0,NONE,NONE
42,DB01_to_DB02,backward,backup,5160,450.0,2550.0,0.0,0.39012564037722736,0.085,0.9806582491395386,0.019341750860461415,0.0,0.0,0.0,0,0,0,NONE,NONE
43,DB01_to_DB02,backward,backup,5159,400.0,2550.0,0.0,0.38716774093304296,0.085,0.9673420482779712,0.03265795172202879,0.0,0.0,0.0,0,0,0,NONE,NONE
44,DB01_to_DB02,backward,backup,5259,350.0,2600.0,0.0,0.2202193210355388,0.085,0.9449335938648561,0.05506640613514391,0.0,0.0,0.0,0,0,0,NONE,NONE
45,DB01_to_DB02,backward,backup,5360,350.0,2650.0,0.0,0.10784908268012645,0.085,0.9357506383666208,0.06424936163337924,0.0,0.0,0.0,0,0,0,NONE,NONE
46,DB01_to_DB02,backward,backup,5461,350.0,2700.0,0.0,0.15488423675534416,0.085,0.9230442307391284,0.07695576926087155,0.0,0.0,0.0,0,0,0,NONE,NONE
47,DB01_to_DB02,backward,backup,5562,350.0,2750.0,0.0,0.2509026294578931,0.085,0.9069606178873836,0.09303938211261642,0.0,0.0,0.0,0,0,0,NONE,NONE
48,DB01_to_DB02,backward,backup,5663,350.0,2800.0,0.0,0.3304578690536283,0.085,0.8876829615679295,0.11231703843207053,0.0,0.0,0.0,0,0,0,NONE,NONE
49,DB01_to_DB02,backward,backup,5764,350.0,2850.0,0.0,0.25238058222649434,0.085,0.8654278673596753,0.13457213264032475,0.0,0.0,0.0,0,0,0,NONE,NONE
50,DB01_to_DB02,backward,backup,5865,350.0,2900.0,0.0,0.15817813969776254,0.085,0.8404413361000395,0.15955866389996054,0.0,0.0,0.0,0,0,0,NONE,NONE
