seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DB02_to_DK02,backward,main,4418,3750.0,2150.0,0.0,0.6570614847884161,0.085,0.5609491608144708,0.43905083918552923,0.0,0.0,0.0,0,0,1,DK02,DK
1,DB02_to_DK02,backward,main,4317,3750.0,2100.0,0.0,0.6651797476574826,0.085,0.5384069322954604,0.46159306770453956,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DB02_to_DK02,backward,main,4216,3750.0,2050.0,0.0,0.6725003479113809,0.085,0.514755885208607,0.48524411479139296,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DB02_to_DK02,backward,main,4115,3750.0,2000.0,0.0,0.6791796916450638,0.085,0.4902250904938553,0.5097749095061447,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DB02_to_DK02,backward,main,4013,3700.0,1950.0,0.0,0.6766781331779792,0.085,0.4902250904938553,0.5097749095061447,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DB02_to_DK02,backward,main,3911,3650.0,1900.0,0.0,0.6746423972181403,0.085,0.4864101285732544,0.5135898714267456,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DB02_to_DK02,backward,main,3809,3600.0,1850.0,0.0,0.6734576492237597,0.085,0.47886903850371154,0.5211309614962885,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DB02_to_DK02,backward,main,3707,3550.0,1800.0,0.0,0.6740586622031313,0.085,0.4677760491745853,0.5322239508254147,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DB02_to_DK02,backward,main,3605,3500.0,1750.0,0.0,0.6775980620133735,0.085,0.4533840931520487,0.5466159068479512,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DB02_to_DK02,backward,main,3503,3450.0,1700.0,0.0,0.6845932596020792,0.085,0.4360152213017239,0.5639847786982761,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DB02_to_DK02,backward,main,3401,3400.0,1650.0,0.0,0.6943899317011382,0.085,0.41604863063013575,0.5839513693698642,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DB02_to_DK02,backward,main,3400,3350.0,1650.0,0.0,0.6960532932185984,0.085,0.4267476175926629,0.5732523824073371,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DB02_to_DK02,backward,main,3298,3300.0,1600.0,0.0,0.7059455719535731,0.085,0.4024613345370006,0.5975386654629994,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DB02_to_DK02,backward,main,3196,3250.0,1550.0,0.0,0.7114325308172641,0.085,0.3766034507108804,0.6233965492891196,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DB02_to_DK02,backward,main,3094,3200.0,1500.0,0.0,0.6951998468082999,0.085,0.41361797370441067,0.5863820262955893,0.0,0.0,0.0,0,0,0,NONE,NONE
