seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DB02_to_DK04,backward,backup,5686,1500.0,2800.0,0.0,0.679636781397158,0.085,0.4950358969261986,0.5049641030738015,0.0,0.0,0.0,0,0,1,DK04,DK
1,DB02_to_DK04,backward,backup,5585,1500.0,2750.0,0.0,0.6762793142238812,0.085,0.5057865053076862,0.4942134946923138,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DB02_to_DK04,backward,backup,5484,1500.0,2700.0,0.0,0.6721982376717366,0.085,0.514755885208607,0.48524411479139296,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DB02_to_DK04,backward,backup,5384,1550.0,2650.0,0.0,0.6813603912391208,0.085,0.485461035940867,0.514538964059133,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DB02_to_DK04,backward,backup,5385,1600.0,2650.0,0.0,0.6942390632073486,0.085,0.44985583014731595,0.5501441698526841,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DB02_to_DK04,backward,backup,5285,1650.0,2600.0,0.0,0.7042873817687644,0.085,0.4193117404827775,0.5806882595172225,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DB02_to_DK04,backward,backup,5286,1700.0,2600.0,0.0,0.7165809971443249,0.085,0.3855343441745787,0.6144656558254213,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DB02_to_DK04,backward,backup,5287,1750.0,2600.0,0.0,0.7282089351126289,0.085,0.3530958867789343,0.6469041132210658,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DB02_to_DK04,backward,backup,5288,1800.0,2600.0,0.0,0.7241460246063772,0.085,0.3664452151507752,0.6335547848492248,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DB02_to_DK04,backward,backup,5289,1850.0,2600.0,0.0,0.7170346832465437,0.085,0.387799965553118,0.612200034446882,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DB02_to_DK04,backward,backup,5290,1900.0,2600.0,0.0,0.7094547547849734,0.085,0.4087991783506979,0.5912008216493021,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DB02_to_DK04,backward,backup,5291,1950.0,2600.0,0.0,0.7019348482271426,0.085,0.4292554318516718,0.5707445681483282,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DB02_to_DK04,backward,backup,5292,2000.0,2600.0,0.0,0.6945363009742922,0.085,0.4489780629526202,0.5510219370473798,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DB02_to_DK04,backward,backup,5293,2050.0,2600.0,0.0,0.6873418339995293,0.085,0.4677760491745853,0.5322239508254147,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DB02_to_DK04,backward,backup,5395,2100.0,2650.0,0.0,0.6670258406522555,0.085,0.5177808866277529,0.4822191133722471,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DB02_to_DK04,backward,backup,5497,2150.0,2700.0,0.0,0.6435348707327259,0.085,0.568671053718672,0.431328946281328,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DB02_to_DK04,backward,backup,5599,2200.0,2750.0,0.0,0.6149461167853719,0.085,0.6197025804448949,0.3802974195551051,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DB02_to_DK04,backward,backup,5701,2250.0,2800.0,0.0,0.5784359743133476,0.085,0.6700582534023591,0.32994174659764086,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DB02_to_DK04,backward,backup,5702,2300.0,2800.0,0.0,0.5716336821408381,0.085,0.6846097918258168,0.3153902081741832,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DB02_to_DK04,backward,backup,5703,2350.0,2800.0,0.0,0.5699987314331862,0.085,0.6967503397493732,0.30324966025062683,0.0,0.0,0.0,0,0,0,NONE,NONE
20,DB02_to_DK04,backward,backup,5704,2400.0,2800.0,0.0,0.5726828357136596,0.085,0.7063416394256196,0.29365836057438044,0.0,0.0,0.0,0,0,0,NONE,NONE
21,DB02_to_DK04,backward,backup,5705,2450.0,2800.0,0.0,0.5686761957881543,0.085,0.7416868759123437,0.2583131240876563,0.0,0.0,0.0,0,0,0,NONE,NONE
22,DB02_to_DK04,backward,backup,5605,2500.0,2750.0,0.0,0.5693783353025331,0.085,0.7833774640608182,0.2166225359391818,0.0,0.0,0.0,0,0,0,NONE,NONE
23,DB02_to_DK04,backward,backup,5505,2550.0,2700.0,0.0,0.5639061520676057,0.085,0.8209725335183455,0.17902746648165446,0.0,0.0,0.0,0,0,0,NONE,NONE
24,DB02_to_DK04,backward,backup,5405,2600.0,2650.0,0.0,0.5563556276679469,0.085,0.8536763613451477,0.14632363865485232,0.0,0.0,0.0,0,0,0,NONE,NONE
25,DB02_to_DK04,backward,backup,5305,2650.0,2600.0,0.0,0.5472489881375054,0.085,0.880774957955678,0.11922504204432205,0.0,0.0,0.0,0,0,0,NONE,NONE
26,DB02_to_DK04,backward,backup,5205,2700.0,2550.0,0.0,0.5424504658436626,0.085,0.9016619341640674,0.09833806583593263,0.0,0.0,0.0,0,0,0,NONE,NONE
27,DB02_to_DK04,backward,backup,5105,2750.0,2500.0,0.0,0.5332493422086828,0.085,0.9158610435469906,0.0841389564530094,0.0,0.0,0.0,0,0,0,NONE,NONE
28,DB02_to_DK04,backward,backup,5005,2800.0,2450.0,0.0,0.5156131629295623,0.085,0.9230442307391284,0.07695576926087155,0.0,0.0,0.0,0,0,0,NONE,NONE
29,DB02_to_DK04,backward,backup,4905,2850.0,2400.0,0.0,0.4818198827899417,0.085,0.9230442307391284,0.07695576926087155,0.0,0.0,0.0,0,0,0,NONE,NONE
30,DB02_to_DK04,backward,backup,4805,2900.0,2350.0,0.0,0.41706743473863,0.085,0.9158610435469906,0.0841389564530094,0.0,0.0,0.0,0,0,0,NONE,NONE
31,DB02_to_DK04,backward,backup,4705,2950.0,2300.0,0.0,0.29299307701678556,0.085,0.9016619341640674,0.09833806583593263,0.0,0.0,0.0,0,0,0,NONE,NONE
32,DB02_to_DK04,backward,backup,4605,3000.0,2250.0,0.0,0.05525000000000001,0.085,0.880774957955678,0.11922504204432205,0.0,0.0,0.0,0,0,0,NONE,NONE
33,DB02_to_DK04,backward,backup,4504,3000.0,2200.0,0.0,0.11528665682560389,0.085,0.8520106519007895,0.1479893480992105,0.0,0.0,0.0,0,0,0,NONE,NONE
34,DB02_to_DK04,backward,backup,4403,3000.0,2150.0,0.0,0.17073519946130383,0.085,0.8209725335183455,0.17902746648165446,0.0,0.0,0.0,0,0,0,NONE,NONE
35,DB02_to_DK04,backward,backup,4302,3000.0,2100.0,0.0,0.2220308498203085,0.085,0.7879810402580102,0.2120189597419898,0.0,0.0,0.0,0,0,0,NONE,NONE
36,DB02_to_DK04,backward,backup,4201,3000.0,2050.0,0.0,0.26968300089487823,0.085,0.7533667446967807,0.24663325530321933,0.0,0.0,0.0,0,0,0,NONE,NONE
37,DB02_to_DK04,backward,backup,4100,3000.0,2000.0,0.0,0.3113294665341889,0.085,0.717464901725936,0.282535098274064,0.0,0.0,0.0,0,0,0,NONE,NONE
38,DB02_to_DK04,backward,backup,3999,3000.0,1950.0,0.0,0.35071163132352495,0.085,0.6806101355130432,0.31938986448695683,0.0,0.0,0.0,0,0,0,NONE,NONE
39,DB02_to_DK04,backward,backup,3897,2950.0,1900.0,0.0,0.24130361295643787,0.085,0.6393740519842027,0.3606259480157973,0.0,0.0,0.0,0,0,0,NONE,NONE
40,DB02_to_DK04,backward,backup,3796,2950.0,1850.0,0.0,0.2930835147695818,0.085,0.6018106006716945,0.39818939932830555,0.0,0.0,0.0,0,0,0,NONE,NONE
41,DB02_to_DK04,backward,backup,3695,2950.0,1800.0,0.0,0.3380900487761062,0.085,0.5642456204690209,0.43575437953097906,0.0,0.0,0.0,0,0,0,NONE,NONE
42,DB02_to_DK04,backward,backup,3594,2950.0,1750.0,0.0,0.3803291692588972,0.085,0.5269629692433709,0.47303703075662906,0.0,0.0,0.0,0,0,0,NONE,NONE
43,DB02_to_DK04,backward,backup,3492,2900.0,1700.0,0.0,0.26126451207852397,0.085,0.485461035940867,0.514538964059133,0.0,0.0,0.0,0,0,0,NONE,NONE
44,DB02_to_DK04,backward,backup,3391,2900.0,1650.0,0.0,0.3165455772208048,0.085,0.44985583014731595,0.5501441698526841,0.0,0.0,0.0,0,0,0,NONE,NONE
45,DB02_to_DK04,backward,backup,3289,2850.0,1600.0,0.0,0.2999277160198411,0.085,0.4826248549218544,0.5173751450781456,0.0,0.0,0.0,0,0,0,NONE,NONE
46,DB02_to_DK04,backward,backup,3187,2800.0,1550.0,0.0,0.3838196379451186,0.085,0.530059706503893,0.469940293496107,0.0,0.0,0.0,0,0,0,NONE,NONE
47,DB02_to_DK04,backward,backup,3186,2750.0,1550.0,0.0,0.32264950435675044,0.085,0.5415709208598878,0.4584290791401122,0.0,0.0,0.0,0,0,0,NONE,NONE
48,DB02_to_DK04,backward,backup,3084,2700.0,1500.0,0.0,0.39797805775649164,0.085,0.5878696731223465,0.4121303268776535,0.0,0.0,0.0,0,0,0,NONE,NONE
49,DB02_to_DK04,backward,backup,3083,2650.0,1500.0,0.0,0.34579657689778137,0.085,0.5959621474044855,0.4040378525955145,0.0,0.0,0.0,0,0,0,NONE,NONE
