seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DK03_to_DK05,forward,main,2546,1050.0,1250.0,0.0,0.7597344308205574,0.085,0.25185386763737894,0.7481461323626211,0.0,0.0,0.0,0,0,1,DK03,DK
1,DK03_to_DK05,forward,main,2547,1100.0,1250.0,0.0,0.761312501470608,0.085,0.2426790173683525,0.7573209826316475,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DK03_to_DK05,forward,main,2548,1150.0,1250.0,0.0,0.7614030014708518,0.085,0.23292675058834106,0.767073249411659,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DK03_to_DK05,forward,main,2549,1200.0,1250.0,0.0,0.7602501925314136,0.085,0.2226947843644562,0.7773052156355438,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DK03_to_DK05,forward,main,2651,1250.0,1300.0,0.0,0.7424221495349682,0.085,0.23338213020998438,0.7666178697900157,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DK03_to_DK05,forward,main,2652,1300.0,1300.0,0.0,0.7258957732908693,0.085,0.2450605392455259,0.7549394607544742,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DK03_to_DK05,forward,main,2653,1350.0,1300.0,0.0,0.7026210025597432,0.085,0.2686211852886895,0.7313788147113105,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DK03_to_DK05,forward,main,2654,1400.0,1300.0,0.0,0.6781089474666321,0.085,0.29329906232102687,0.7067009376789731,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DK03_to_DK05,forward,main,2655,1450.0,1300.0,0.0,0.6566123257588706,0.085,0.31899555036296995,0.68100444963703,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DK03_to_DK05,forward,main,2656,1500.0,1300.0,0.0,0.6432794628973114,0.085,0.3455907525769745,0.6544092474230254,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DK03_to_DK05,forward,main,2758,1550.0,1350.0,0.0,0.5942106607999088,0.085,0.35517088113896567,0.6448291188610343,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DK03_to_DK05,forward,main,2759,1600.0,1350.0,0.0,0.6133468920267338,0.085,0.3817876843578648,0.6182123156421352,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DK03_to_DK05,forward,main,2760,1650.0,1350.0,0.0,0.6343004933928704,0.085,0.4087991783506979,0.5912008216493021,0.0,0.0,0.0,0,0,0,NONE,NONE
